Date,Open,High,Low,Close,Volume,openinterest,tp_score
2008-12-10 00:00:00,0.269,0.282,0.265,0.275,2032630.0,0,17.5075763979
2008-12-11 00:00:00,0.278,0.322,0.275,0.315,3402585.0,0,28.5150084234
2008-12-12 00:00:00,0.318,0.328,0.312,0.315,3145586.0,0,28.6006122547
2008-12-15 00:00:00,0.325,0.332,0.322,0.322,2482910.0,0,32.5317347466
2008-12-16 00:00:00,0.328,0.328,0.315,0.318,809229.0,0,32.0878182685
2008-12-17 00:00:00,0.318,0.322,0.305,0.312,1830854.0,0,31.2252689403
2008-12-18 00:00:00,0.305,0.305,0.288,0.302,2610348.0,0,26.6491439291
2008-12-19 00:00:00,0.298,0.305,0.292,0.298,630816.0,0,26.3545565337
2008-12-22 00:00:00,0.295,0.305,0.295,0.305,390809.0,0,27.1822000721
2008-12-23 00:00:00,0.298,0.308,0.288,0.308,768874.0,0,25.194723236
2008-12-24 00:00:00,0.298,0.312,0.298,0.312,108322.0,0,23.7902075864
2008-12-29 00:00:00,0.308,0.308,0.298,0.305,586213.0,0,22.8949097008
2008-12-30 00:00:00,0.308,0.325,0.308,0.325,883568.0,0,26.4786675432
2008-12-31 00:00:00,0.325,0.332,0.322,0.328,887816.0,0,25.7631519516
2009-01-02 00:00:00,0.328,0.338,0.328,0.338,375941.0,0,29.6765071379
2009-01-05 00:00:00,0.332,0.351,0.332,0.345,902683.0,0,31.5581626503
2009-01-06 00:00:00,0.351,0.358,0.338,0.338,1023749.0,0,30.5301631936
2009-01-07 00:00:00,0.338,0.345,0.338,0.338,1234021.0,0,31.272862292
2009-01-08 00:00:00,0.338,0.338,0.328,0.328,1433673.0,0,28.9311990278
2009-01-09 00:00:00,0.325,0.325,0.322,0.322,1061980.0,0,28.692979287
2009-01-12 00:00:00,0.312,0.318,0.305,0.305,2544505.0,0,28.1179696503
2009-01-13 00:00:00,0.302,0.305,0.292,0.292,1718284.0,0,28.5804602461
2009-01-14 00:00:00,0.305,0.315,0.305,0.312,288859.0,0,32.5951249561
2009-01-15 00:00:00,0.292,0.305,0.285,0.305,1344467.0,0,34.6556206589
2009-01-16 00:00:00,0.302,0.305,0.292,0.302,2121837.0,0,30.7686962453
2009-01-19 00:00:00,0.298,0.298,0.292,0.292,537362.0,0,29.7676844042
2009-01-20 00:00:00,0.282,0.285,0.278,0.278,513919.0,0,26.9053425101
2009-01-21 00:00:00,0.269,0.282,0.269,0.269,1495268.0,0,24.4550684008
2009-01-22 00:00:00,0.272,0.282,0.269,0.272,564974.0,0,24.0986318066
2009-01-23 00:00:00,0.265,0.272,0.265,0.269,533114.0,0,25.1571611616
2009-01-29 00:00:00,0.255,0.278,0.255,0.272,59471.0,0,24.6973230681
2009-01-30 00:00:00,0.272,0.288,0.272,0.282,1703416.0,0,26.8529413281
2009-02-02 00:00:00,0.282,0.298,0.282,0.282,433288.0,0,27.7999194667
2009-02-03 00:00:00,0.292,0.292,0.285,0.285,295231.0,0,27.0799987997
2009-02-04 00:00:00,0.285,0.305,0.285,0.302,1643946.0,0,33.1496891194
2009-02-05 00:00:00,0.298,0.318,0.298,0.315,1964664.0,0,34.2504203146
2009-02-06 00:00:00,0.322,0.322,0.308,0.322,658428.0,0,31.1207142412
2009-02-09 00:00:00,0.325,0.328,0.318,0.328,1491020.0,0,32.7669684207
2009-02-10 00:00:00,0.325,0.325,0.322,0.322,369569.0,0,32.7981044964
2009-02-11 00:00:00,0.318,0.318,0.312,0.315,666924.0,0,34.119667941
2009-02-12 00:00:00,0.318,0.325,0.312,0.325,505503.0,0,38.095969414
2009-02-13 00:00:00,0.325,0.332,0.322,0.332,303726.0,0,48.278981697
2009-02-16 00:00:00,0.338,0.398,0.338,0.385,4409342.0,0,63.6780745127
2009-02-17 00:00:00,0.398,0.404,0.371,0.398,3455684.0,0,75.0812213475
2009-02-18 00:00:00,0.385,0.404,0.371,0.404,1127823.0,0,75.8629740535
2009-02-19 00:00:00,0.404,0.404,0.385,0.391,928171.0,0,71.182558953
2009-02-20 00:00:00,0.398,0.404,0.391,0.398,1597218.0,0,74.8984793868
2009-02-23 00:00:00,0.404,0.404,0.378,0.391,1915813.0,0,71.709887004
2009-02-24 00:00:00,0.385,0.385,0.385,0.385,694535.0,0,69.9197202827
2009-02-25 00:00:00,0.385,0.398,0.385,0.391,991890.0,0,71.8292057781
2009-02-26 00:00:00,0.391,0.424,0.391,0.404,3534271.0,0,71.6041350355
2009-02-27 00:00:00,0.411,0.424,0.398,0.424,3587370.0,0,75.1148778932
2009-03-02 00:00:00,0.418,0.438,0.418,0.438,7585195.0,0,76.3603278138
2009-03-03 00:00:00,0.418,0.457,0.418,0.457,8085918.0,0,80.5935773402
2009-03-04 00:00:00,0.457,0.477,0.457,0.464,5188836.0,0,81.7681949846
2009-03-05 00:00:00,0.464,0.477,0.451,0.477,4666342.0,0,79.6105767272
2009-03-06 00:00:00,0.471,0.471,0.464,0.464,1123575.0,0,79.3837465533
2009-03-09 00:00:00,0.451,0.457,0.451,0.457,1372079.0,0,78.5129927696
2009-03-10 00:00:00,0.457,0.471,0.451,0.464,1592971.0,0,77.6618268032
2009-03-11 00:00:00,0.477,0.491,0.477,0.491,3260280.0,0,80.4273279543
2009-03-12 00:00:00,0.497,0.497,0.484,0.491,1752268.0,0,78.7021682489
2009-03-13 00:00:00,0.491,0.504,0.491,0.491,2329985.0,0,79.6122680939
2009-03-16 00:00:00,0.497,0.643,0.491,0.61,40312776.0,0,91.1954067521
2009-03-17 00:00:00,0.61,0.696,0.603,0.696,44322812.0,0,96.0834351878
2009-03-18 00:00:00,0.716,0.762,0.676,0.703,26710930.0,0,95.0113497956
2009-03-19 00:00:00,0.703,0.703,0.656,0.683,7200227.0,0,92.0959309375
2009-03-20 00:00:00,0.676,0.822,0.67,0.802,35249252.0,0,97.6597430768
2009-03-23 00:00:00,0.802,0.816,0.769,0.789,8249463.0,0,97.5110808411
2009-03-24 00:00:00,0.809,0.842,0.789,0.822,9309320.0,0,97.8585482948
2009-03-25 00:00:00,0.816,0.829,0.756,0.762,7642011.0,0,95.2091776961
