Date,Open,High,Low,Close,Volume,openinterest,tp_score
2009-10-19 00:00:00,0.915,0.92,0.9,0.91,395010.0,0,65.8491598949
2009-10-20 00:00:00,0.91,0.956,0.9,0.941,3309075.0,0,66.670467042
2009-10-21 00:00:00,0.946,0.992,0.946,0.971,2448600.0,0,69.2585368462
2009-10-22 00:00:00,0.971,1.002,0.966,0.997,652575.0,0,70.9216926658
2009-10-23 00:00:00,1.002,1.007,0.956,0.966,568260.0,0,69.3067389236
2009-10-27 00:00:00,0.961,0.961,0.941,0.946,561330.0,0,68.0285699854
2009-10-28 00:00:00,0.936,0.951,0.92,0.951,194040.0,0,67.3368821798
2009-10-29 00:00:00,0.915,0.941,0.915,0.941,359205.0,0,66.0926687517
2009-10-30 00:00:00,0.941,0.941,0.905,0.931,196350.0,0,66.0166591755
2009-11-02 00:00:00,0.915,0.931,0.915,0.92,388080.0,0,64.796132312
2009-11-03 00:00:00,0.915,0.925,0.9,0.905,773850.0,0,63.0883753559
2009-11-04 00:00:00,0.9,0.92,0.9,0.915,195195.0,0,62.5855317206
2009-11-05 00:00:00,0.915,0.915,0.905,0.905,80850.0,0,62.0194346783
2009-11-06 00:00:00,0.905,0.915,0.905,0.91,838530.0,0,63.0394322087
2009-11-09 00:00:00,0.91,0.925,0.905,0.91,273735.0,0,62.9112888021
2009-11-10 00:00:00,0.91,0.92,0.9,0.905,316470.0,0,62.5247160531
2009-11-11 00:00:00,0.905,0.91,0.9,0.9,1595055.0,0,62.8166897062
2009-11-12 00:00:00,0.905,0.91,0.9,0.9,1448832.0,0,62.8384858488
2009-11-13 00:00:00,0.9,0.905,0.9,0.905,437745.0,0,63.9455013858
2009-11-16 00:00:00,0.9,0.951,0.9,0.905,2775465.0,0,63.4502235345
2009-11-17 00:00:00,0.91,0.915,0.905,0.915,2407020.0,0,64.46371336
2009-11-18 00:00:00,0.936,0.976,0.936,0.966,2632245.0,0,67.9020669718
2009-11-19 00:00:00,0.951,0.986,0.951,0.956,1237005.0,0,67.4622098769
2009-11-20 00:00:00,0.941,0.966,0.931,0.966,209055.0,0,68.2061389828
2009-11-23 00:00:00,0.976,0.976,0.941,0.961,197505.0,0,67.5438852249
2009-11-24 00:00:00,0.941,0.941,0.905,0.915,465465.0,0,64.2260936583
2009-11-25 00:00:00,0.915,0.941,0.885,0.89,1686300.0,0,61.9203765497
2009-11-26 00:00:00,0.89,0.895,0.859,0.864,2713095.0,0,59.3956518353
2009-11-27 00:00:00,0.854,0.864,0.839,0.849,1585815.0,0,58.8989647684
2009-11-30 00:00:00,0.849,0.864,0.849,0.864,1682835.0,0,60.4689168978
2009-12-01 00:00:00,0.89,0.895,0.859,0.87,838530.0,0,60.4413887518
2009-12-02 00:00:00,0.875,0.875,0.864,0.875,614460.0,0,60.9608775818
2009-12-03 00:00:00,0.885,0.89,0.864,0.87,555555.0,0,60.7017553962
2009-12-04 00:00:00,0.885,0.885,0.859,0.87,444675.0,0,61.393702049
2009-12-07 00:00:00,0.864,0.875,0.854,0.854,729960.0,0,60.8845045928
2009-12-08 00:00:00,0.859,0.864,0.844,0.864,1263570.0,0,60.3894749074
2009-12-09 00:00:00,0.854,0.864,0.844,0.864,1737120.0,0,59.959514215
2009-12-10 00:00:00,0.864,0.864,0.824,0.839,2700390.0,0,58.5199300331
2009-12-11 00:00:00,0.849,0.854,0.839,0.849,910140.0,0,59.2662194594
2009-12-14 00:00:00,0.849,0.849,0.829,0.829,541695.0,0,58.0578900981
2009-12-15 00:00:00,0.834,0.864,0.824,0.849,2039730.0,0,59.3779168226
2009-12-16 00:00:00,0.864,0.864,0.839,0.839,1260105.0,0,57.2319702951
2009-12-17 00:00:00,0.864,0.875,0.824,0.839,511665.0,0,57.6498514497
2009-12-18 00:00:00,0.824,0.839,0.803,0.839,1402170.0,0,57.9059474327
2009-12-21 00:00:00,0.819,0.824,0.803,0.814,605220.0,0,56.1458890581
2009-12-22 00:00:00,0.819,0.829,0.808,0.824,830445.0,0,55.949021234
2009-12-23 00:00:00,0.814,0.814,0.788,0.808,1926540.0,0,54.4982755479
2009-12-24 00:00:00,0.808,0.824,0.808,0.824,304920.0,0,55.8265369728
2009-12-28 00:00:00,0.798,0.814,0.793,0.814,412335.0,0,55.4117112879
2009-12-29 00:00:00,0.824,0.91,0.824,0.91,2007390.0,0,62.5565914862
2009-12-30 00:00:00,0.885,0.885,0.859,0.875,575190.0,0,59.9194422259
2009-12-31 00:00:00,0.875,0.895,0.875,0.895,284130.0,0,60.5192526128
2010-01-04 00:00:00,0.875,0.89,0.875,0.89,62370.0,0,60.1072389704
2010-01-05 00:00:00,0.885,0.895,0.87,0.88,448140.0,0,58.9042698854
2010-01-06 00:00:00,0.88,0.9,0.88,0.895,339570.0,0,60.4622155403
2010-01-07 00:00:00,0.9,0.905,0.885,0.885,483945.0,0,58.6409905151
2010-01-08 00:00:00,0.9,0.9,0.89,0.9,471240.0,0,59.679430153
2010-01-11 00:00:00,0.905,0.941,0.905,0.925,2449755.0,0,62.489426505
2010-01-12 00:00:00,0.936,0.951,0.925,0.941,1731345.0,0,64.9512936109
2010-01-13 00:00:00,0.92,0.931,0.905,0.925,1118040.0,0,63.2420579253
2010-01-14 00:00:00,0.941,0.956,0.931,0.956,1747515.0,0,63.9411445657
2010-01-15 00:00:00,0.951,1.027,0.951,0.981,3693690.0,0,62.113233182
2010-01-18 00:00:00,0.981,0.997,0.961,0.981,693000.0,0,58.2477675205
2010-01-19 00:00:00,0.986,0.986,0.956,0.971,732270.0,0,58.2843030162
2010-01-20 00:00:00,0.981,0.981,0.941,0.946,580965.0,0,57.8551204914
2010-01-21 00:00:00,0.931,0.941,0.915,0.92,475860.0,0,55.6956700129
2010-01-22 00:00:00,0.931,0.931,0.885,0.91,1362900.0,0,57.3500370324
2010-01-25 00:00:00,0.92,0.976,0.915,0.961,1176945.0,0,62.0600247116
2010-01-26 00:00:00,0.961,0.961,0.915,0.925,677523.0,0,59.3524484711
2010-01-27 00:00:00,0.915,0.925,0.905,0.92,195195.0,0,56.8637513221
2010-01-28 00:00:00,0.905,0.936,0.9,0.915,616770.0,0,56.0714873627
2010-01-29 00:00:00,0.895,0.925,0.895,0.915,887040.0,0,52.5980201795
2010-02-01 00:00:00,0.915,0.931,0.905,0.925,497805.0,0,54.1220590905
2010-02-02 00:00:00,0.931,0.946,0.905,0.92,809540.0,0,52.3876252759
2010-02-03 00:00:00,0.92,0.941,0.92,0.931,280665.0,0,54.1490803155
2010-02-04 00:00:00,0.946,0.946,0.946,0.946,69300.0,0,56.2803514239
2010-02-05 00:00:00,0.89,0.925,0.89,0.92,1720950.0,0,54.3555074228
2010-02-08 00:00:00,0.915,0.92,0.9,0.92,329175.0,0,55.2084676809
2010-02-09 00:00:00,0.915,0.92,0.895,0.92,695310.0,0,55.3054853248
2010-02-10 00:00:00,0.92,0.946,0.91,0.925,341880.0,0,56.0545415721
2010-02-11 00:00:00,0.931,0.941,0.915,0.931,347886.0,0,57.1168600383
2010-02-12 00:00:00,0.931,0.946,0.931,0.941,71610.0,0,58.291587132
2010-02-17 00:00:00,0.941,0.941,0.941,0.941,207900.0,0,58.2181863105
2010-02-18 00:00:00,0.931,0.941,0.915,0.92,379995.0,0,55.768483691
2010-02-19 00:00:00,0.92,0.925,0.905,0.92,1027950.0,0,54.9989415938
2010-02-22 00:00:00,0.925,0.951,0.925,0.951,173250.0,0,54.800219733
2010-02-23 00:00:00,0.941,0.971,0.941,0.971,1148070.0,0,56.9990402568
2010-02-24 00:00:00,0.951,0.976,0.951,0.976,553245.0,0,56.662289397
2010-02-25 00:00:00,0.976,0.992,0.966,0.992,3014550.0,0,58.9962560392
2010-02-26 00:00:00,0.992,0.997,0.976,0.981,840840.0,0,58.9833976155
2010-03-01 00:00:00,0.981,0.997,0.981,0.992,463155.0,0,61.2814159937
2010-03-02 00:00:00,0.981,0.992,0.981,0.992,632940.0,0,61.7698752319
2010-03-03 00:00:00,0.992,0.992,0.976,0.981,592515.0,0,60.5889662574
2010-03-04 00:00:00,0.992,0.992,0.976,0.981,70455.0,0,60.5830740903
2010-03-05 00:00:00,0.997,1.027,0.992,1.017,1103025.0,0,63.3013891377
2010-03-08 00:00:00,1.017,1.047,1.012,1.042,1831830.0,0,64.6009977618
2010-03-09 00:00:00,1.047,1.119,1.047,1.088,3984750.0,0,67.654867121
2010-03-10 00:00:00,1.083,1.108,1.083,1.103,679140.0,0,66.1081947271
2010-03-11 00:00:00,1.119,1.129,1.114,1.119,1167705.0,0,65.6017910992
2010-03-12 00:00:00,1.129,1.159,1.129,1.159,2440515.0,0,63.0538567283
2010-03-15 00:00:00,1.159,1.159,1.114,1.129,1272810.0,0,62.6663772853
2010-03-16 00:00:00,1.124,1.129,1.119,1.119,552668.0,0,59.3623785322
